purchase_id,customer_id,product_id,quantity,purchase_date,store,name,city,signup_date,product_name,category,price,total_price
T0001,C012,P030,1,2023-01-01 00:00:00,Store A,Fiona Davis,Sacramento,2023-02-03,Picture Frame,Home & Garden,253.25,253.25
T0002,C094,P033,1,2023-01-01 04:00:00,Store B,Fiona Garcia,San Francisco,2023-10-07,Biography,Books,16.93,16.93
T0003,C086,P036,1,2023-01-01 08:00:00,Store A,Alice Patel,Portland,2023-09-13,Comic Book,Books,31.97,31.97
T0004,C070,P018,4,2023-01-01 12:00:00,Store B,Eric Brown,Sacramento,2023-07-27,Dress,Clothing,90.28,361.12
T0005,C025,P037,1,2023-01-01 16:00:00,Store C,Laura Wilson,San Francisco,2023-03-14,Travel Guide,Books,38.58,38.58
T0006,C072,P019,1,2023-01-01 20:00:00,Store C,Charlie Kim,Seattle,2023-08-02,Shorts,Clothing,102.87,102.87
T0007,C070,P047,1,2023-01-02 00:00:00,Store A,Eric Brown,Sacramento,2023-07-27,Resistance Bands,Sports,382.56,382.56
T0008,C038,P028,1,2023-01-02 04:00:00,Store A,Alice Kim,Seattle,2023-04-22,Pillow,Home & Garden,22.22,22.22
T0009,C067,P040,4,2023-01-02 08:00:00,Store B,Quinn Martinez,Seattle,2023-07-18,Reference Book,Books,48.19,192.76
T0010,C064,P020,1,2023-01-02 12:00:00,Store B,Patricia Jackson,Portland,2023-07-09,Scarf,Clothing,114.39,114.39
T0011,C080,P049,1,2023-01-02 16:00:00,Store C,Charlie Rodriguez,Seattle,2023-08-26,Bicycle,Sports,71.3,71.3
T0012,C082,P033,3,2023-01-02 20:00:00,Store B,Rachel Rodriguez,San Francisco,2023-09-01,Biography,Books,16.93,50.79
T0013,C013,P012,1,2023-01-03 00:00:00,Store A,Laura Davis,San Diego,2023-02-06,Jeans,Clothing,120.1,120.1
T0014,C062,P015,1,2023-01-03 04:00:00,Store A,Julia Kim,Portland,2023-07-03,Shoes,Clothing,31.1,31.1
T0015,C081,P041,1,2023-01-03 08:00:00,Store A,Charlie Anderson,San Diego,2023-08-29,Yoga Mat,Sports,372.88,372.88
T0016,C073,P039,2,2023-01-03 12:00:00,Store A,Patricia Kim,Seattle,2023-08-05,Poetry,Books,21.2,42.4
